P,H,T,RH,U,V
972,412,12.1,77.6,-7.7,-0.7
971,417,12.0,78.0,-7.7,-0.7
971,422,12.0,78.2,-7.8,-0.8
970,428,11.9,78.5,-7.8,-0.9
969,434,11.9,79.0,-7.7,-0.9
968,441,11.8,79.4,-7.8,-1.0
968,447,11.7,79.8,-7.8,-1.1
967,454,11.7,80.0,-7.8,-1.1
966,460,11.6,80.1,-7.9,-1.2
966,466,11.5,80.5,-7.9,-1.2
965,473,11.5,80.9,-7.9,-1.3
964,478,11.4,81.0,-8.0,-1.4
963,484,11.4,81.2,-8.0,-1.4
963,492,11.3,81.7,-8.1,-1.5
962,498,11.2,82.1,-8.1,-1.6
961,505,11.2,82.3,-8.1,-1.6
960,513,11.1,82.6,-8.1,-1.7
959,520,11.0,82.7,-8.2,-1.7
959,525,11.0,82.7,-8.2,-1.8
958,532,10.9,83.0,-8.3,-1.9
957,539,10.9,83.4,-8.4,-1.9
956,547,10.8,83.8,-8.4,-2.0
956,555,10.7,84.0,-8.4,-2.1
955,562,10.6,84.0,-8.5,-2.1
954,568,10.6,83.8,-8.6,-2.2
953,573,10.5,84.1,-8.7,-2.3
953,580,10.5,84.8,-8.8,-2.4
952,586,10.4,85.4,-8.9,-2.4
951,590,10.4,85.7,-8.9,-2.5
951,595,10.3,85.9,-8.9,-2.5
950,602,10.3,86.2,-9.0,-2.6
949,607,10.2,86.4,-9.1,-2.7
949,611,10.2,86.4,-9.2,-2.7
948,617,10.1,86.7,-9.3,-2.8
947,625,10.1,87.1,-9.4,-2.9
947,633,10.0,87.3,-9.5,-2.9
946,638,10.0,87.2,-9.5,-3.0
945,641,9.9,87.2,-9.6,-3.1
945,646,9.9,87.5,-9.7,-3.2
944,651,9.9,88.1,-9.8,-3.2
943,658,9.8,88.4,-9.8,-3.3
943,666,9.8,88.7,-9.8,-3.4
942,674,9.7,88.8,-9.8,-3.4
941,680,9.7,88.7,-9.9,-3.5
941,685,9.6,88.6,-9.9,-3.5
940,692,9.6,88.8,-9.9,-3.6
939,700,9.5,89.0,-9.9,-3.7
938,705,9.5,89.2,-9.9,-3.8
938,710,9.4,89.3,-9.9,-3.9
937,715,9.3,89.4,-9.8,-3.9
936,720,9.3,89.6,-9.7,-4.0
936,727,9.2,90.1,-9.7,-4.0
935,733,9.2,90.4,-9.7,-4.1
934,741,9.1,90.4,-9.5,-4.2
934,746,9.1,89.9,-9.5,-4.2
933,753,9.1,88.9,-9.4,-4.3
932,760,9.0,87.6,-9.3,-4.4
931,767,9.0,87.0,-9.3,-4.5
931,773,8.9,87.1,-9.1,-4.5
930,779,8.9,87.3,-9.1,-4.6
929,786,8.8,87.7,-9.0,-4.6
928,792,8.8,87.6,-8.9,-4.7
928,800,8.7,87.2,-8.9,-4.8
927,806,8.7,87.1,-8.8,-4.8
926,813,8.6,87.0,-8.7,-4.9
925,821,8.6,86.8,-8.7,-5.0
925,828,8.5,86.7,-8.7,-5.0
924,834,8.5,86.7,-8.6,-5.1
923,840,8.5,87.0,-8.6,-5.1
922,847,8.4,87.4,-8.6,-5.2
922,854,8.4,87.3,-8.5,-5.2
921,862,8.4,86.8,-8.5,-5.3
920,869,8.4,86.4,-8.5,-5.3
919,875,8.3,86.2,-8.5,-5.3
919,881,8.3,86.4,-8.4,-5.4
918,887,8.2,86.8,-8.5,-5.4
917,893,8.1,87.1,-8.5,-5.5
917,899,8.1,87.5,-8.5,-5.5
916,905,8.0,88.0,-8.5,-5.5
915,910,8.0,88.3,-8.4,-5.5
915,917,7.9,88.6,-8.4,-5.6
914,925,7.8,88.8,-8.4,-5.6
913,930,7.8,88.5,-8.4,-5.6
912,936,7.8,88.2,-8.4,-5.7
912,943,7.7,88.2,-8.3,-5.7
911,948,7.7,88.3,-8.3,-5.8
910,955,7.6,88.5,-8.2,-5.8
910,962,7.5,88.6,-8.1,-5.8
909,970,7.5,88.9,-8.1,-5.9
908,976,7.4,89.1,-8.1,-5.9
907,983,7.4,89.5,-7.9,-5.9
907,990,7.3,89.9,-7.9,-6.0
906,996,7.2,90.1,-7.8,-6.0
905,1002,7.2,90.4,-7.7,-6.1
905,1008,7.1,90.8,-7.6,-6.1
904,1013,7.1,90.9,-7.5,-6.1
903,1020,7.0,91.1,-7.5,-6.2
903,1025,7.0,91.3,-7.3,-6.2
902,1031,6.9,91.4,-7.3,-6.3
901,1039,6.9,91.4,-7.2,-6.2
901,1045,6.8,91.4,-7.1,-6.3
900,1051,6.8,91.3,-7.1,-6.4
899,1057,6.8,91.5,-6.9,-6.3
899,1064,6.7,92.0,-6.9,-6.4
898,1068,6.6,92.3,-6.9,-6.4
897,1074,6.6,92.5,-6.8,-6.5
897,1080,6.6,92.8,-6.7,-6.4
896,1087,6.5,93.1,-6.7,-6.5
895,1093,6.4,93.5,-6.7,-6.5
895,1100,6.4,93.7,-6.6,-6.5
894,1106,6.3,93.8,-6.6,-6.5
893,1111,6.3,94.0,-6.5,-6.5
893,1118,6.2,94.3,-6.5,-6.5
892,1125,6.2,94.7,-6.5,-6.5
891,1130,6.1,94.9,-6.5,-6.5
891,1135,6.1,95.1,-6.4,-6.5
890,1140,6.1,95.0,-6.4,-6.5
889,1146,6.1,94.6,-6.3,-6.5
889,1153,6.1,93.9,-6.3,-6.5
888,1158,6.1,93.3,-6.2,-6.5
887,1167,6.1,93.0,-6.2,-6.5
887,1174,6.0,92.8,-6.1,-6.5
886,1180,6.0,92.5,-6.0,-6.5
885,1187,6.0,92.4,-5.9,-6.5
884,1194,5.9,92.2,-5.8,-6.5
884,1201,5.9,91.8,-5.7,-6.5
883,1209,5.9,91.2,-5.6,-6.5
882,1214,5.9,90.4,-5.5,-6.5
881,1221,5.9,89.4,-5.3,-6.5
881,1227,5.9,89.1,-5.2,-6.6
880,1233,5.9,89.2,-5.1,-6.6
879,1239,5.9,89.2,-4.9,-6.5
879,1245,5.8,89.2,-4.8,-6.5
878,1252,5.8,89.3,-4.7,-6.6
877,1258,5.7,89.3,-4.5,-6.6
877,1264,5.7,89.2,-4.3,-6.6
876,1271,5.6,89.0,-4.2,-6.7
875,1277,5.6,88.9,-4.1,-6.7
875,1284,5.6,88.8,-3.9,-6.7
874,1290,5.5,88.9,-3.8,-6.7
873,1296,5.5,89.1,-3.7,-6.8
873,1301,5.4,89.2,-3.5,-6.8
872,1306,5.4,88.8,-3.4,-6.9
872,1311,5.4,87.9,-3.3,-6.9
871,1317,5.3,87.3,-3.2,-7.0
870,1323,5.3,87.1,-3.1,-7.0
870,1330,5.3,86.7,-3.0,-7.1
869,1334,5.3,86.1,-3.0,-7.2
869,1338,5.3,85.6,-2.9,-7.2
868,1347,5.3,85.4,-2.8,-7.4
867,1353,5.3,84.9,-2.8,-7.4
867,1359,5.3,84.4,-2.7,-7.5
866,1363,5.4,84.1,-2.7,-7.5
866,1369,5.4,84.1,-2.6,-7.7
865,1375,5.3,83.7,-2.6,-7.8
864,1381,5.3,82.4,-2.6,-7.8
864,1387,5.5,80.2,-2.5,-7.9
863,1393,5.6,78.5,-2.5,-8.0
863,1399,5.6,77.6,-2.5,-8.1
862,1403,5.6,76.9,-2.5,-8.2
861,1409,5.8,76.1,-2.5,-8.3
861,1414,5.8,75.4,-2.5,-8.4
860,1419,5.9,74.8,-2.5,-8.6
860,1427,6.0,74.1,-2.5,-8.7
859,1434,6.1,72.9,-2.4,-8.8
858,1439,6.2,70.0,-2.4,-8.9
858,1444,6.2,65.6,-2.4,-9.0
857,1449,6.3,61.1,-2.4,-9.1
857,1456,6.3,58.0,-2.4,-9.2
856,1463,6.3,58.2,-2.4,-9.3
855,1468,6.3,62.6,-2.3,-9.4
855,1472,6.3,69.4,-2.3,-9.5
854,1475,6.2,75.0,-2.3,-9.6
854,1481,6.2,77.9,-2.2,-9.8
853,1487,6.1,78.4,-2.2,-10.0
853,1495,6.0,78.4,-2.1,-10.1
852,1501,6.0,78.6,-2.1,-10.2
851,1506,5.9,78.7,-2.0,-10.3
851,1512,5.9,79.1,-1.9,-10.4
850,1517,5.9,79.7,-1.8,-10.5
850,1522,5.9,80.1,-1.7,-10.7
849,1527,5.8,80.4,-1.6,-10.8
849,1531,5.8,80.6,-1.5,-10.9
848,1538,5.7,80.9,-1.4,-11.0
847,1543,5.6,81.3,-1.3,-11.0
847,1550,5.6,81.7,-1.2,-11.1
846,1556,5.5,82.0,-1.1,-11.2
845,1561,5.5,82.2,-0.9,-11.4
845,1568,5.4,82.4,-0.8,-11.4
844,1575,5.4,82.6,-0.7,-11.5
843,1583,5.3,82.9,-0.5,-11.5
843,1588,5.2,83.0,-0.4,-11.6
842,1592,5.2,83.2,-0.2,-11.6
842,1599,5.2,83.6,-0.1,-11.6
841,1607,5.2,83.9,0.0,-11.7
840,1612,5.1,83.8,0.2,-11.7
840,1618,5.2,83.7,0.3,-11.7
839,1625,5.3,83.5,0.4,-11.7
838,1630,5.3,82.9,0.5,-11.7
838,1637,5.4,82.2,0.6,-11.7
837,1643,5.4,81.5,0.8,-11.7
837,1648,5.5,81.2,0.9,-11.7
836,1655,5.6,81.4,1.0,-11.7
835,1663,5.6,82.0,1.1,-11.6
835,1669,5.6,82.3,1.2,-11.5
834,1674,5.6,82.4,1.3,-11.4
833,1679,5.6,82.9,1.4,-11.4
833,1685,5.5,83.5,1.4,-11.3
832,1692,5.5,83.7,1.5,-11.2
831,1700,5.5,83.8,1.6,-11.1
831,1705,5.5,83.6,1.7,-11.0
830,1711,5.5,83.2,1.8,-10.8
830,1717,5.5,82.3,1.9,-10.7
829,1722,5.6,79.8,2.0,-10.5
828,1729,5.8,73.8,2.1,-10.4
828,1736,6.4,63.4,2.2,-10.2
827,1742,7.0,51.5,2.3,-10.0
826,1748,7.4,42.8,2.4,-9.8
826,1755,7.7,37.9,2.5,-9.6
825,1762,7.9,35.4,2.6,-9.3
824,1767,8.0,33.7,2.8,-9.2
824,1774,8.1,32.8,2.9,-8.9
823,1781,8.2,32.6,3.0,-8.7
823,1787,8.3,32.6,3.1,-8.4
822,1792,8.4,32.9,3.2,-8.2
821,1800,8.5,33.7,3.4,-7.9
821,1807,8.6,34.2,3.5,-7.6
820,1814,8.6,34.6,3.6,-7.4
819,1820,8.6,35.1,3.7,-7.1
819,1827,8.7,35.9,3.8,-6.8
818,1834,8.7,36.7,4.0,-6.6
817,1839,8.7,37.6,4.0,-6.3
817,1846,8.7,38.7,4.2,-6.1
816,1854,8.8,40.1,4.3,-5.9
815,1861,8.8,41.5,4.4,-5.7
815,1866,8.8,42.4,4.5,-5.5
814,1874,8.7,43.7,4.6,-5.3
813,1881,8.7,45.7,4.8,-5.1
813,1887,8.8,48.0,4.9,-5.0
812,1893,8.8,49.2,5.0,-4.7
811,1899,8.8,49.8,5.1,-4.6
811,1906,8.8,50.6,5.3,-4.5
810,1912,8.8,51.6,5.4,-4.4
810,1918,8.7,52.6,5.5,-4.3
809,1922,8.7,53.7,5.7,-4.2
809,1928,8.7,54.8,5.8,-4.1
808,1935,8.7,55.5,6.0,-4.0
807,1942,8.6,55.8,6.2,-3.9
807,1949,8.6,56.1,6.3,-3.8
806,1954,8.5,56.2,6.5,-3.8
805,1961,8.5,56.4,6.6,-3.7
805,1968,8.4,56.6,6.8,-3.6
804,1974,8.3,56.7,7.0,-3.5
803,1981,8.3,56.9,7.1,-3.4
803,1989,8.2,57.2,7.3,-3.3
802,1996,8.1,57.7,7.4,-3.2
802,2000,8.1,58.0,7.6,-3.1
801,2006,8.1,58.2,7.7,-3.0
800,2014,8.0,58.5,7.9,-2.8
800,2020,7.9,58.8,8.1,-2.7
799,2026,7.9,59.2,8.2,-2.6
799,2032,7.8,59.8,8.4,-2.4
798,2039,7.8,60.7,8.4,-2.3
797,2046,7.8,61.2,8.5,-2.1
797,2050,7.7,61.2,8.7,-2.0
796,2055,7.7,61.1,8.8,-1.8
796,2060,7.6,61.7,9.0,-1.6
795,2066,7.6,62.6,9.1,-1.5
795,2072,7.6,63.7,9.2,-1.3
794,2078,7.6,64.7,9.2,-1.1
794,2083,7.6,65.5,9.3,-1.0
793,2089,7.5,66.4,9.5,-0.8
792,2095,7.5,67.4,9.6,-0.7
792,2102,7.5,68.2,9.7,-0.5
791,2107,7.5,68.9,9.7,-0.4
791,2111,7.4,69.4,9.8,-0.2
790,2118,7.4,70.3,9.9,-0.1
790,2123,7.4,71.1,10.0,0.1
789,2128,7.4,71.8,10.1,0.2
789,2135,7.4,72.6,10.1,0.3
788,2142,7.3,73.4,10.2,0.5
787,2149,7.3,73.9,10.3,0.6
787,2155,7.3,74.0,10.4,0.7
786,2160,7.2,74.3,10.5,0.9
786,2166,7.2,74.8,10.5,1.0
785,2170,7.2,75.3,10.5,1.1
785,2176,7.3,75.9,10.6,1.2
784,2184,7.3,76.6,10.7,1.4
783,2191,7.3,77.2,10.7,1.5
783,2197,7.4,77.3,10.8,1.6
782,2202,7.3,77.1,10.9,1.7
782,2206,7.3,77.3,10.8,1.8
781,2212,7.3,77.8,10.9,1.9
781,2219,7.2,78.2,11.0,2.1
780,2223,7.1,78.3,11.0,2.2
780,2229,7.1,78.6,11.1,2.3
779,2236,7.0,79.2,11.1,2.4
779,2240,7.0,80.0,11.1,2.5
778,2245,7.0,81.2,11.2,2.6
778,2250,7.0,82.9,11.2,2.7
777,2255,7.0,84.5,11.2,2.9
777,2261,7.0,85.5,11.2,3.0
776,2267,6.9,87.0,11.3,3.1
776,2272,6.9,88.0,11.3,3.2
775,2277,6.8,87.5,11.3,3.3
774,2284,6.8,86.7,11.3,3.4
774,2291,6.8,86.8,11.4,3.5
773,2297,6.7,87.6,11.4,3.5
773,2301,6.7,88.8,11.4,3.6
772,2306,6.7,90.5,11.4,3.7
772,2313,6.6,92.0,11.5,3.8
771,2319,6.6,92.9,11.5,3.8
770,2326,6.5,94.1,11.6,3.9
770,2334,6.4,95.2,11.6,3.9
769,2342,6.4,95.9,11.6,4.0
769,2351,6.3,96.4,11.6,4.0
768,2356,6.2,96.6,11.7,4.0
767,2360,6.2,96.7,11.7,4.1
767,2366,6.2,97.2,11.8,4.1
766,2374,6.1,97.7,11.8,4.1
766,2379,6.0,97.9,11.9,4.2
765,2386,6.0,97.9,11.9,4.2
764,2392,5.9,98.0,12.0,4.2
764,2398,5.9,97.7,12.0,4.2
763,2404,5.9,96.6,12.0,4.2
763,2410,5.8,95.2,12.1,4.2
762,2416,5.8,94.3,12.1,4.2
762,2420,5.8,93.6,12.1,4.2
761,2425,5.8,93.3,12.1,4.2
761,2430,5.8,92.9,12.1,4.2
760,2435,5.8,92.9,12.2,4.2
760,2441,5.7,93.8,12.2,4.2
759,2448,5.7,95.4,12.2,4.2
759,2453,5.6,97.3,12.2,4.2
758,2458,5.5,98.5,12.2,4.2
758,2463,5.5,98.6,12.2,4.2
757,2469,5.5,97.1,12.2,4.2
757,2477,5.4,94.7,12.2,4.2
756,2484,5.4,93.6,12.2,4.2
755,2489,5.4,93.4,12.2,4.1
755,2493,5.3,93.3,12.2,4.1
754,2499,5.3,93.0,12.2,4.1
754,2507,5.3,92.7,12.2,4.1
753,2514,5.3,92.6,12.3,4.1
753,2518,5.3,92.4,12.3,4.1
752,2523,5.2,92.5,12.4,4.0
752,2530,5.2,93.0,12.5,4.0
751,2537,5.1,93.6,12.5,4.0
751,2542,5.0,93.9,12.6,4.0
750,2546,5.0,94.0,12.6,4.0
750,2550,5.0,94.3,12.7,4.0
749,2556,4.9,94.8,12.7,3.9
749,2560,4.9,95.4,12.8,3.9
748,2566,4.8,95.4,12.9,3.9
748,2570,4.8,95.3,12.9,3.9
747,2575,4.8,95.4,13.0,4.0
747,2580,4.7,95.5,13.1,4.0
746,2589,4.6,95.5,13.1,4.0
746,2596,4.5,95.3,13.2,4.0
745,2601,4.5,95.0,13.2,4.1
745,2605,4.5,94.8,13.3,4.1
744,2609,4.4,95.0,13.4,4.2
744,2614,4.4,95.5,13.3,4.2
743,2620,4.4,95.8,13.3,4.3
743,2624,4.3,95.8,13.4,4.4
743,2628,4.3,95.6,13.4,4.4
742,2633,4.3,95.4,13.5,4.5
742,2638,4.3,95.3,13.4,4.6
741,2644,4.2,95.6,13.4,4.7
741,2648,4.2,95.9,13.5,4.8
740,2652,4.1,96.2,13.4,4.9
740,2658,4.1,96.6,13.4,4.9
739,2664,4.1,97.1,13.4,5.0
739,2669,4.0,97.6,13.5,5.1
738,2674,3.9,98.2,13.4,5.2
738,2680,3.9,98.6,13.4,5.2
738,2685,3.8,99.0,13.5,5.3
737,2689,3.8,99.2,13.5,5.4
737,2693,3.8,99.1,13.4,5.4
736,2697,3.7,99.0,13.5,5.5
736,2705,3.7,99.1,13.5,5.5
735,2711,3.7,99.1,13.6,5.6
735,2716,3.6,98.9,13.6,5.6
734,2722,3.6,99.1,13.7,5.7
734,2727,3.6,99.3,13.8,5.7
733,2732,3.6,99.3,13.9,5.7
733,2739,3.5,99.6,13.9,5.7
732,2745,3.5,99.8,14.0,5.8
731,2750,3.5,99.4,14.1,5.8
731,2758,3.4,99.2,14.2,5.8
730,2764,3.3,99.4,14.3,5.8
730,2770,3.3,99.4,14.5,5.8
729,2777,3.3,99.4,14.6,5.9
729,2784,3.2,99.4,14.7,5.8
728,2790,3.1,99.4,14.8,5.8
728,2795,3.1,99.4,14.9,5.8
727,2800,3.0,99.4,15.1,5.8
726,2807,3.0,99.5,15.2,5.8
726,2814,3.0,99.8,15.4,5.7
725,2820,3.0,99.8,15.5,5.7
725,2826,2.9,99.6,15.6,5.7
724,2834,2.9,99.1,15.8,5.6
724,2840,2.9,97.5,16.0,5.5
723,2845,3.1,94.8,16.1,5.5
722,2852,3.3,92.7,16.1,5.3
722,2860,3.3,92.4,16.3,5.2
721,2868,3.1,92.2,16.4,5.1
721,2874,3.3,89.9,16.6,5.0
720,2880,3.5,87.8,16.6,4.8
719,2886,3.5,87.4,16.8,4.7
719,2894,3.5,87.8,16.8,4.5
718,2901,3.5,88.1,16.9,4.3
717,2910,3.5,88.2,17.0,4.2
717,2917,3.4,88.1,17.0,4.0
716,2922,3.4,87.3,17.1,3.8
716,2928,3.4,86.2,17.1,3.6
715,2934,3.4,85.0,17.2,3.4
715,2941,3.4,83.9,17.2,3.2
714,2948,3.5,83.3,17.2,3.0
713,2953,3.5,83.1,17.3,2.8
713,2959,3.6,82.8,17.3,2.6
712,2966,3.7,82.4,17.3,2.5
712,2974,3.7,82.0,17.4,2.3
711,2980,3.7,81.7,17.4,2.1
711,2989,3.8,81.7,17.4,2.0
710,2996,3.8,81.8,17.4,1.8
709,3002,3.8,81.9,17.5,1.7
709,3008,3.8,81.9,17.5,1.5
708,3013,3.8,82.0,17.5,1.4
708,3022,3.8,82.4,17.6,1.2
707,3028,3.8,82.6,17.6,1.1
706,3035,3.8,82.6,17.7,1.0
706,3042,3.7,82.8,17.7,0.9
705,3049,3.7,83.1,17.7,0.8
705,3056,3.7,83.3,17.7,0.6
704,3062,3.7,83.3,17.8,0.6
704,3067,3.6,83.3,17.8,0.4
703,3072,3.6,83.5,17.8,0.3
703,3079,3.5,83.8,17.9,0.2
702,3084,3.5,84.2,17.9,0.1
702,3091,3.5,84.5,17.9,0.0
701,3098,3.4,84.8,18.0,-0.1
700,3104,3.4,85.0,18.0,-0.2
700,3110,3.3,85.2,18.0,-0.3
699,3117,3.3,85.6,18.0,-0.4
699,3123,3.3,86.0,18.1,-0.6
698,3128,3.2,86.2,18.1,-0.7
698,3134,3.2,86.4,18.1,-0.8
697,3140,3.1,86.8,18.1,-0.9
697,3147,3.1,87.3,18.2,-1.0
696,3153,3.0,87.7,18.2,-1.1
696,3160,2.9,88.1,18.2,-1.2
695,3168,2.9,88.5,18.2,-1.3
694,3175,2.8,88.9,18.2,-1.4
694,3181,2.8,89.1,18.2,-1.5
693,3188,2.7,89.3,18.2,-1.6
693,3195,2.6,89.6,18.3,-1.7
692,3201,2.6,90.2,18.3,-1.8
692,3207,2.5,91.1,18.3,-1.9
691,3213,2.5,92.1,18.4,-2.0
690,3220,2.4,92.9,18.4,-2.1
690,3228,2.4,93.8,18.5,-2.2
689,3235,2.3,94.3,18.5,-2.2
689,3239,2.3,94.0,18.6,-2.3
688,3245,2.3,93.8,18.5,-2.4
688,3250,2.2,94.2,18.6,-2.5
687,3256,2.2,94.9,18.6,-2.5
687,3265,2.2,94.9,18.7,-2.6
686,3271,2.2,93.3,18.8,-2.7
686,3278,2.2,90.4,18.8,-2.7
685,3284,2.2,87.2,18.9,-2.8
685,3290,2.3,84.2,19.0,-2.9
684,3296,2.3,82.3,19.1,-3.0
683,3303,2.4,81.6,19.1,-3.0
683,3309,2.4,81.5,19.2,-3.1
682,3317,2.4,81.2,19.2,-3.1
682,3322,2.3,80.6,19.3,-3.2
681,3328,2.3,80.2,19.3,-3.2
681,3334,2.3,80.0,19.4,-3.3
680,3340,2.3,79.6,19.5,-3.4
680,3347,2.3,78.9,19.5,-3.4
679,3352,2.3,78.1,19.6,-3.5
679,3356,2.3,77.4,19.7,-3.6
678,3362,2.2,76.8,19.7,-3.6
678,3368,2.2,76.3,19.8,-3.7
677,3373,2.2,75.8,19.8,-3.7
677,3379,2.2,75.4,19.8,-3.8
676,3385,2.1,75.2,19.9,-3.9
676,3391,2.1,75.0,19.9,-3.9
675,3398,2.1,74.7,20.0,-4.0
675,3406,2.0,74.1,20.0,-4.1
674,3413,2.0,73.4,20.1,-4.1
674,3419,2.0,72.9,20.2,-4.2
673,3428,1.9,72.7,20.1,-4.3
673,3433,1.9,72.2,20.2,-4.3
672,3439,1.8,71.5,20.3,-4.4
671,3446,1.8,71.2,20.3,-4.5
671,3454,1.7,71.1,20.4,-4.6
670,3460,1.7,71.1,20.5,-4.7
670,3466,1.7,70.8,20.6,-4.7
669,3471,1.6,70.1,20.6,-4.8
669,3478,1.6,69.3,20.6,-4.9
668,3484,1.6,68.5,20.7,-5.0
668,3491,1.6,67.7,20.8,-5.0
667,3498,1.6,67.4,20.9,-5.1
667,3504,1.6,67.7,21.0,-5.2
666,3511,1.6,68.3,21.0,-5.3
666,3516,1.6,68.7,21.2,-5.4
665,3522,1.6,69.3,21.3,-5.5
665,3528,1.6,70.1,21.4,-5.5
664,3535,1.5,71.0,21.5,-5.6
664,3541,1.5,71.6,21.7,-5.7
663,3546,1.5,71.7,21.8,-5.7
662,3555,1.5,71.7,21.9,-5.8
662,3561,1.6,71.5,22.0,-5.9
661,3566,1.6,71.3,22.1,-5.9
661,3574,1.6,71.3,22.3,-5.9
660,3582,1.6,71.3,22.4,-5.9
660,3588,1.5,71.3,22.5,-6.0
659,3595,1.5,71.2,22.7,-6.0
659,3601,1.5,71.1,22.8,-5.9
658,3609,1.5,71.0,23.0,-5.9
657,3616,1.4,70.9,23.1,-5.8
657,3622,1.4,70.5,23.2,-5.8
656,3630,1.4,70.2,23.3,-5.7
656,3637,1.4,70.0,23.4,-5.7
655,3644,1.3,69.9,23.6,-5.6
655,3650,1.3,69.8,23.7,-5.5
654,3658,1.3,69.8,23.8,-5.4
654,3664,1.3,69.5,23.8,-5.2
653,3671,1.3,69.2,24.0,-5.1
652,3677,1.3,68.8,24.0,-5.0
652,3685,1.3,68.3,24.1,-4.9
651,3693,1.3,67.4,24.1,-4.7
651,3700,1.5,66.5,24.3,-4.6
650,3707,1.6,65.7,24.3,-4.4
650,3716,1.6,65.3,24.3,-4.3
649,3722,1.7,64.8,24.5,-4.1
649,3726,1.7,64.2,24.5,-4.0
648,3731,1.7,63.5,24.6,-3.9
648,3736,1.8,62.9,24.6,-3.7
647,3742,1.9,62.5,24.6,-3.6
647,3748,1.8,62.4,24.8,-3.4
646,3753,1.8,62.3,24.8,-3.3
646,3759,1.8,62.2,24.9,-3.2
645,3766,1.8,62.0,24.9,-3.1
645,3772,1.9,61.6,25.0,-2.9
644,3777,1.9,61.0,25.0,-2.9
644,3785,1.9,60.3,25.2,-2.7
643,3790,1.9,59.7,25.3,-2.7
643,3796,1.9,59.3,25.3,-2.5
642,3802,1.9,58.9,25.4,-2.4
642,3808,2.0,58.7,25.5,-2.3
641,3814,2.0,58.6,25.5,-2.2
641,3822,2.0,58.7,25.6,-2.1
640,3828,2.0,58.8,25.6,-2.0
640,3834,1.9,58.9,25.7,-1.9
639,3840,1.9,58.9,25.8,-1.9
639,3847,1.9,58.9,25.8,-1.7
638,3853,2.0,58.8,25.9,-1.6
638,3860,2.0,58.6,26.0,-1.5
637,3866,2.0,58.4,26.1,-1.5
